id,session_id,total_events,started_at,finished_at,inserted_at
1000020355912,1000000173019,1,2019-01-05 00:52:42.534000000,2019-01-05 00:52:42.534000000,2019-01-05 00:52:45.220000000
1000020355913,1000000168802,1,2019-01-05 00:52:42.653000000,2019-01-05 00:52:42.653000000,2019-01-05 00:52:45.700000000
1000020355915,1000000161920,1,2019-01-05 00:52:42.760000000,2019-01-05 00:52:42.760000000,2019-01-05 00:52:45.165000000
1000020355928,1000000165812,1,2019-01-05 00:52:44.990000000,2019-01-05 00:52:44.990000000,2019-01-05 00:52:45.251000000
1000020355930,1000000161935,1,2019-01-05 00:52:44.716000000,2019-01-05 00:52:44.716000000,2019-01-05 00:52:45.222000000
1000020355932,1000000171056,1,2019-01-05 00:52:44.751000000,2019-01-05 00:52:44.751000000,2019-01-05 00:52:45.660000000
1000020355935,1000000162969,1,2019-01-05 00:52:44.704000000,2019-01-05 00:52:44.704000000,2019-01-05 00:52:45.126000000
1000020355942,1000000168772,1,2019-01-05 00:52:41.960000000,2019-01-05 00:52:41.960000000,2019-01-05 00:52:45.236000000
1000020355949,1000000168794,1,2019-01-05 00:52:45.552000000,2019-01-05 00:52:45.552000000,2019-01-05 00:52:50.249000000
1000020355950,1000000156890,1,2019-01-05 00:52:45.464000000,2019-01-05 00:52:45.464000000,2019-01-05 00:52:50.192000000
1000020355951,1000000162982,1,2019-01-05 00:52:45.814000000,2019-01-05 00:52:45.814000000,2019-01-05 00:52:50.163000000
1000020355952,1000000173039,1,2019-01-05 00:52:45.992000000,2019-01-05 00:52:45.992000000,2019-01-05 00:52:50.221000000
1000020355956,1000000172054,1,2019-01-05 00:52:45.956000000,2019-01-05 00:52:45.956000000,2019-01-05 00:52:50.750000000
1000020355957,1000000156960,1,2019-01-05 00:52:45.925000000,2019-01-05 00:52:45.925000000,2019-01-05 00:52:50.114000000
1000020355959,1000000163963,1,2019-01-05 00:52:46.250000000,2019-01-05 00:52:46.250000000,2019-01-05 00:52:50.830000000
1000020355960,1000000168791,3,2019-01-05 00:52:45.838000000,2019-01-05 00:52:48.957000000,2019-01-05 00:52:50.152000000
1000020355964,1000000172060,1,2019-01-05 00:52:46.429000000,2019-01-05 00:52:46.429000000,2019-01-05 00:52:50.192000000
1000020355965,1000000161967,1,2019-01-05 00:52:46.521000000,2019-01-05 00:52:46.521000000,2019-01-05 00:52:50.164000000
1000020355968,1000000165848,1,2019-01-05 00:52:46.716000000,2019-01-05 00:52:46.716000000,2019-01-05 00:52:50.165000000
1000020355969,1000000166956,1,2019-01-05 00:52:46.768000000,2019-01-05 00:52:46.768000000,2019-01-05 00:52:50.223000000
1000020355972,1000000169069,1,2019-01-05 00:52:46.903000000,2019-01-05 00:52:46.903000000,2019-01-05 00:52:50.460000000
1000020355977,1000000168758,1,2019-01-05 00:52:47.887000000,2019-01-05 00:52:47.887000000,2019-01-05 00:52:50.224000000
1000020355983,1000000174037,1,2019-01-05 00:52:45.319000000,2019-01-05 00:52:45.319000000,2019-01-05 00:52:50.189000000
1000020355984,1000000169097,1,2019-01-05 00:52:48.288000000,2019-01-05 00:52:48.288000000,2019-01-05 00:52:50.282000000
1000020355987,1000000171027,1,2019-01-05 00:52:48.645000000,2019-01-05 00:52:48.645000000,2019-01-05 00:52:50.198000000
1000020355988,1000000174039,1,2019-01-05 00:52:48.647000000,2019-01-05 00:52:48.647000000,2019-01-05 00:52:50.350000000
1000020355992,1000000156893,1,2019-01-05 00:52:49.460000000,2019-01-05 00:52:49.460000000,2019-01-05 00:52:50.360000000
1000020355993,1000000165879,1,2019-01-05 00:52:49.700000000,2019-01-05 00:52:49.700000000,2019-01-05 00:52:50.119000000
1000020355997,1000000168786,1,2019-01-05 00:52:49.374000000,2019-01-05 00:52:49.374000000,2019-01-05 00:52:50.200000000
1000020355998,1000000164914,1,2019-01-05 00:52:49.322000000,2019-01-05 00:52:49.322000000,2019-01-05 00:52:50.500000000
1000020357001,1000000156900,1,2019-01-05 00:51:33.774000000,2019-01-05 00:51:33.774000000,2019-01-05 00:51:35.102000000
1000020357009,1000000162980,1,2019-01-05 00:51:34.301000000,2019-01-05 00:51:34.301000000,2019-01-05 00:51:35.193000000
1000020357010,1000000156940,1,2019-01-05 00:51:31.575000000,2019-01-05 00:51:31.575000000,2019-01-05 00:51:35.155000000
1000020357012,1000000161926,1,2019-01-05 00:51:34.191000000,2019-01-05 00:51:34.191000000,2019-01-05 00:51:35.370000000
